group_id;material_id;item_qty;item_dim_1;item_dim_2;item_dim_3;item_class
331;13688;1.347;;;;I1-079-2
332;13688;1.55;;;;I1-079-3
333;13684;1.862;;;;I1-079-4
334;14115;1.444;;;;I1-079-5
335;12455;0.0262;100;262;;I1-079-6
336;12456;0.016;80;200;;I1-079-7
338;47689;0.23;800;289;;I1-080-1
339;47689;0.2;800;256;;I1-080-2
340;13688;4.987;;;;I1-080-3
341;13688;4.892;;;;I1-080-4
51983;55361;1.03;;;;
51974;55361;5.577;;;;
1462;14019;1;;;;(SOB)
1282;13746;2;;;;(SOB)
356;13688;1.508;;;;I2-071-4
355;13688;1.136;;;;I2-071-3
354;13688;1.058;;;;I2-071-2
353;47689;1.74;1536;1136;;I2-071-1
365;12456;0.016;80;200;;I2-072-7
364;12455;0.0262;100;262;;I2-072-6
363;14115;1.444;;;;I2-072-5
362;13684;1.862;;;;I2-072-4
361;13688;1.55;;;;I2-072-3
360;13688;1.347;;;;I2-072-2
359;13688;1.448;;;;I2-072-1
371;14115;1.444;;;;I2-073-5
370;13684;1.862;;;;I2-073-4
369;13688;1.55;;;;I2-073-3
368;13688;1.347;;;;I2-073-2
367;13688;1.45;;;;I2-073-1
373;12456;0.016;80;200;;I2-073-7
372;12455;0.0262;100;262;;I2-073-6
375;13688;4.892;;;;I2-074-1
376;47689;0.2;0.8;0.256;;I2-074-2
377;13688;4.987;;;;I2-074-3
378;47689;0.23;800;289;;I2-074-4
381;13680;1.35;;;;I2-092-2
380;12455;0.019;125;153;;I2-092-1
384;13680;1.182;;;;I2-093-2
383;12455;0.019;125;153;;I2-093-1
3169;13680;1.182;;;;I2-094-2
386;12455;0.019;125;152;;I2-094-1
388;13680;0.874;;;;I2-064-1
389;13680;0.341;;;;I2-064-2
1286;13747;1;;;;(SOB)
1281;13675;0.3;;;;
405;14115;0.591;;;;I2-004-13
404;12366;0.654;;;;I2-004-12
403;12362;0.654;;;;I2-004-11
402;14115;1.188;;;;I2-004-10
401;14115;1.188;;;;I2-004-9
400;14115;1.116;;;;I2-004-8
399;14115;1.116;;;;I2-004-7
